author,category,comment_count,country,date,img_title,title,url
'JonathanTisdall',Chess Event Coverage,55,'Norway',2019-10-29 10:40,Wesley So blanked Ian Nepomniachitchi on day two to open a six-point lead in his semifinal match.  | Photo: Lennart Ootes/Chess.com.,"Carlsen, So Lead World Fischer Random Championship",https://www.chess.com/news/view/carlsen-so-lead-world-fischer-random-championship
'JonathanTisdall',Chess Event Coverage,54,'Norway',2019-10-31 10:21,"Carlsen keeping an eye on his finalist opponent, Wesley So. Photo: Maria Emelianova/Chess.com.",Today: Carlsen To Play So For Fischer Random World Championship,https://www.chess.com/news/view/carlsen-so-fischer-random-world-championship
'PeterDoggers',Chess Event Coverage,259,'Netherlands',2019-10-23 06:16,Winner Wang Hao with Isle of Man chief minister Howard Quayle MHK. | Photo: Maria Emelianova/Chess.com.,"Wang Hao Wins FIDE Chess.com Grand Swiss, Qualifies For Candidates",https://www.chess.com/news/view/wang-hao-wins-fide-chess-com-grand-swiss-qualifies-for-candidates
'MikeKlein',Chess Players,49,'United States',2019-10-30 13:50,IM-elect Carissa Yip is playing as well as any American junior. Photo: Susan Polgar Foundation.,Yip Becomes Youngest American Female IM Ever,https://www.chess.com/news/view/carissa-yip-youngest-im-chess
'IsaacSteincamp',Chess.com News,8,'United States',2019-11-03 04:33,The reigning world rapid champion Daniil Dubov has led the mid-tournament surge for Russia from fourth board. Photo: European Team Chess Championship.,Russia Leads In European Team Championships,https://www.chess.com/news/view/russia-european-team-championships
'JonathanTisdall',Chess Event Coverage,201,'Norway',2019-11-03 14:59,"Wesley So, the first World Fischer Random Champion, is crowned. Photo: Lennart Ootes/Chess.com.",Wesley So Wins Fischer Random World Championship,https://www.chess.com/news/view/wesley-so-first-world-official-fischer-random-chess-champion
'JonathanTisdall',Chess Event Coverage,69,'Norway',2019-11-01 10:08,FIDE President Arkady Dvorkovich makes the first move of the first official Fischer Random World Championship final. | Photo: Lennart Ootes/Chess.com.,So Takes Lead vs Carlsen In Thrilling Fischer Random Final,https://www.chess.com/news/view/so-takes-lead-vs-carlsen-in-thrilling-fischer-random-final
'JonathanTisdall',Chess Event Coverage,93,'Norway',2019-11-02 03:55,Let the hostilities resume! The finalists were ready for game three. Photo: Maria Emelianova/Chess.com.,Wesley So Closes In On Fischer Random Championship Over Carlsen,https://www.chess.com/news/view/wesley-so-magnus-carlsen-fischer-random-championship
'PeterDoggers',Chess Event Coverage,33,'Netherlands',2019-11-04 08:34,Gold for Russia in the open section. Photo: European Team Championship.,Double Gold For Russia At European Team Chess Championship,https://www.chess.com/news/view/russia-wins-2019-european-team-chess-championship
'PeterDoggers',Chess Event Coverage,16,'Netherlands',2019-11-05 11:44,Images: FIDE/Stejarii Country Club.,FIDE Grand Prix Resumes Today; Grand Chess Tour Tomorrow,https://www.chess.com/news/view/fide-grand-prix-hamburg-superbet-grand-chess-tour-bucharest
